system:index,date,mean,.geo
1_1_1_1_1_1_2_9,2011-11-03T00:00:00,0.11990202963352203,"{""type"":""Point"",""coordinates"":[14.55,38.27]}"
1_1_1_1_1_2_5,2011-11-04T00:00:00,0.18373729288578033,"{""type"":""Point"",""coordinates"":[12.07,39.49]}"
1_1_1_1_1_2_6,2011-11-04T00:00:00,0.15109427273273468,"{""type"":""Point"",""coordinates"":[13.09,38.41]}"
1_1_2_5,2011-11-07T00:00:00,0.08089154958724976,"{""type"":""Point"",""coordinates"":[12.07,39.49]}"
1_1_2_6,2011-11-07T00:00:00,0.07186433672904968,"{""type"":""Point"",""coordinates"":[13.09,38.41]}"
1_2_5,2011-11-08T00:00:00,0.12191702425479889,"{""type"":""Point"",""coordinates"":[12.07,39.49]}"
1_2_6,2011-11-08T00:00:00,0.11990202963352203,"{""type"":""Point"",""coordinates"":[13.09,38.41]}"
2_3,2011-11-09T00:00:00,0.12280359864234924,"{""type"":""Point"",""coordinates"":[10.27,42.55]}"
2_4,2011-11-09T00:00:00,0.014275506138801575,"{""type"":""Point"",""coordinates"":[10.53,41.2]}"
2_5,2011-11-09T00:00:00,0.1726951152086258,"{""type"":""Point"",""coordinates"":[12.07,39.49]}"
