"cruise","station","type","mon/day/yr","time","longitude (?E)","latitude (?N)","Depth (m)","DGM (pg/L)","Total Hg (ng/L)","MeHg (pg/L)","%DGM","%MeHg"
"Fenice11","S01a","B","10/26/2011","22:50:00","10.20000","43.22000","0","34.2","0.66","","5",""
"Fenice11","S01a","B","10/26/2011","22:50:00","10.20000","43.22000","10","35.9","0.434","","8",""
"Fenice11","S01a","B","10/26/2011","22:50:00","10.20000","43.22000","20","35.4","0.451","","8",""
"Fenice11","S01a","B","10/26/2011","22:50:00","10.20000","43.22000","30","39.5","0.312","","13",""
"Fenice11","S01a","B","10/26/2011","22:50:00","10.20000","43.22000","40","37.7","0.451","","8",""
"Fenice11","S01a","B","10/26/2011","22:50:00","10.20000","43.22000","50","41.1","0.417","","10",""
"Fenice11","S01a","B","10/26/2011","22:50:00","10.20000","43.22000","62","56.4","1.094","","5",""
"Fenice11","S02","B","10/27/2011","9:30:00","10.20000","43.22000","0","11.6","0.632","","2",""
"Fenice11","S02","B","10/27/2011","9:30:00","10.20000","43.22000","5","14","0.684","","2",""
"Fenice11","S02","B","10/27/2011","9:30:00","10.20000","43.22000","10","26.3","0.632","","4",""
"Fenice11","S02","B","10/27/2011","9:30:00","10.20000","43.22000","20","25.4","0.529","","5",""
"Fenice11","S02","B","10/27/2011","9:30:00","10.20000","43.22000","30","26.9","0.598","","4",""
"Fenice11","S02","B","10/27/2011","9:30:00","10.20000","43.22000","40","27.9","","","",""
"Fenice11","S02","B","10/27/2011","9:30:00","10.20000","43.22000","50","31.3","","","",""
"Fenice11","S02","B","10/27/2011","9:30:00","10.20000","43.22000","62","35.8","","","",""
"Fenice11","S02","B","10/29/2011","9:15:00","10.14000","43.36000","0","27.5","1.03","11.5","3","1"
"Fenice11","S02","B","10/29/2011","9:15:00","10.14000","43.36000","4","27.6","0.778","8.2","4","1"
"Fenice11","S02","B","10/29/2011","9:15:00","10.14000","43.36000","10","24.5","0.638","4.8","4","1"
"Fenice11","S02","B","10/29/2011","9:15:00","10.14000","43.36000","15","29.9","0.816","8.2","4","1"
"Fenice11","S03","B","10/30/2011","8:30:00","10.27000","42.55000","0","38","","3.3","",""
"Fenice11","S03","B","10/30/2011","8:30:00","10.27000","42.55000","4","35.7","","6.8","",""
"Fenice11","S03","B","10/30/2011","8:30:00","10.27000","42.55000","10","33.1","","1.7","",""
"Fenice11","S03","B","10/30/2011","8:30:00","10.27000","42.55000","15","31","","4.6","",""
"Fenice11","S03","B","10/30/2011","8:30:00","10.27000","42.55000","20","36.8","","14","",""
"Fenice11","S04","B","10/31/2011","21:50:00","10.53000","41.20000","0","24.6","0.633","","4",""
"Fenice11","S04","B","10/31/2011","21:50:00","10.53000","41.20000","4","27.3","0.54","","5",""
"Fenice11","S04","B","10/31/2011","21:50:00","10.53000","41.20000","10","26.8","0.689","","4",""
"Fenice11","S04","B","10/31/2011","21:50:00","10.53000","41.20000","30","40.2","0.595","","7",""
"Fenice11","S04","B","10/31/2011","21:50:00","10.53000","41.20000","40","62.1","0.469","","13",""
"Fenice11","S04","B","10/31/2011","21:50:00","10.53000","41.20000","75","111","0.567","","20",""
"Fenice11","S04","B","10/31/2011","21:50:00","10.53000","41.20000","100","89","0.648","","14",""
"Fenice11","S04","B","10/31/2011","21:50:00","10.53000","41.20000","250","139","0.551","","25",""
"Fenice11","S04","B","10/31/2011","21:50:00","10.53000","41.20000","500","108.6","0.652","","17",""
"Fenice11","S04","B","10/31/2011","21:50:00","10.53000","41.20000","1000","89","0.745","","12",""
"Fenice11","S04","B","10/31/2011","21:50:00","10.53000","41.20000","1519","86.1","0.633","","14",""
"Fenice11","S05","B","11/1/2011","16:45:00","12.07000","39.49000","0","27.7","0.258","4.4","11","2"
"Fenice11","S05","B","11/1/2011","16:45:00","12.07000","39.49000","4","24.4","0.245","","10",""
"Fenice11","S05","B","11/1/2011","16:45:00","12.07000","39.49000","10","33","0.216","","15",""
"Fenice11","S05","B","11/1/2011","16:45:00","12.07000","39.49000","20","33","0.216","5.8","15","3"
"Fenice11","S05","B","11/1/2011","16:45:00","12.07000","39.49000","35","35.1","0.391","","9",""
"Fenice11","S05","B","11/1/2011","16:45:00","12.07000","39.49000","45","36.5","0.166","8.3","22","5"
"Fenice11","S05","B","11/1/2011","16:45:00","12.07000","39.49000","80","71.1","0.192","31.2","37","16"
"Fenice11","S05","B","11/1/2011","16:45:00","12.07000","39.49000","200","122","0.171","53","71","31"
"Fenice11","S05","B","11/1/2011","16:45:00","12.07000","39.49000","400","129.9","0.246","72.5","53","29"
"Fenice11","S05","B","11/1/2011","16:45:00","12.07000","39.49000","1000","130.1","0.29","","45",""
"Fenice11","S05","B","11/1/2011","16:45:00","12.07000","39.49000","2000","141.3","0.159","","89",""
"Fenice11","S05","B","11/1/2011","16:45:00","12.07000","39.49000","3539","130.5","0.223","","59",""
"Fenice11","S06","B","11/2/2011","19:30:00","13.09000","38.41000","0","29.8","","15.8","",""
"Fenice11","S06","B","11/2/2011","19:30:00","13.09000","38.41000","4","40.3","","","",""
"Fenice11","S06","B","11/2/2011","19:30:00","13.09000","38.41000","10","39.7","","","",""
"Fenice11","S06","B","11/2/2011","19:30:00","13.09000","38.41000","20","37.8","","","",""
"Fenice11","S06","B","11/2/2011","19:30:00","13.09000","38.41000","35","40.1","","7.4","",""
"Fenice11","S06","B","11/2/2011","19:30:00","13.09000","38.41000","50","29.7","","13.4","",""
"Fenice11","S06","B","11/2/2011","19:30:00","13.09000","38.41000","69","36.8","","13.8","",""
"Fenice11","S07","B","11/4/2011","11:00:00","14.18000","38.55000","0","24.3","","6.4","",""
"Fenice11","S07","B","11/4/2011","11:00:00","14.18000","38.55000","4","18.5","","4.3","",""
"Fenice11","S07","B","11/4/2011","11:00:00","14.18000","38.55000","35","24.7","","8.2","",""
"Fenice11","S07","B","11/4/2011","11:00:00","14.18000","38.55000","50","30.5","","11.6","",""
"Fenice11","S07","B","11/4/2011","11:00:00","14.18000","38.55000","75","61.5","","13.1","",""
"Fenice11","S07","B","11/4/2011","11:00:00","14.18000","38.55000","150","103.7","","32.9","",""
"Fenice11","S07","B","11/4/2011","11:00:00","14.18000","38.55000","250","106.4","","39.4","",""
"Fenice11","S07","B","11/4/2011","11:00:00","14.18000","38.55000","500","98.8","","48.4","",""
"Fenice11","S07","B","11/4/2011","11:00:00","14.18000","38.55000","1000","126.7","","40","",""
"Fenice11","S07","B","11/4/2011","11:00:00","14.18000","38.55000","2000","130.8","","53.9","",""
"Fenice11","S07","B","11/4/2011","11:00:00","14.18000","38.55000","3000","153.6","","38.5","",""
"Fenice11","S07","B","11/4/2011","11:00:00","14.18000","38.55000","3502","166.4","","41","",""
"Fenice11","S08","B","11/4/2011","20:20:00","15.11000","38.48000","0","20.4","0.171","6.4","12","4"
"Fenice11","S08","B","11/4/2011","20:20:00","15.11000","38.48000","4","20.8","","","",""
"Fenice11","S08","B","11/4/2011","20:20:00","15.11000","38.48000","10","21.5","","","",""
"Fenice11","S08","B","11/4/2011","20:20:00","15.11000","38.48000","20","18.5","","","",""
"Fenice11","S08","B","11/4/2011","20:20:00","15.11000","38.48000","30","22.2","","","",""
"Fenice11","S08","B","11/4/2011","20:20:00","15.11000","38.48000","60","50","0.156","","32",""
"Fenice11","S08","B","11/4/2011","20:20:00","15.11000","38.48000","85","59.8","","","",""
"Fenice11","S08","B","11/4/2011","20:20:00","15.11000","38.48000","130","78.2","","","",""
"Fenice11","S08","B","11/4/2011","20:20:00","15.11000","38.48000","170","78.6","","","",""
"Fenice11","S08","B","11/4/2011","20:20:00","15.11000","38.48000","300","75.6","","20","",""
"Fenice11","S08","B","11/4/2011","20:20:00","15.11000","38.48000","629","75.6","0.231","32","33","14"
"Fenice11","S09","B","11/7/2011","9:00:00","14.55000","38.27000","0","93.9","0.292","5.2","32","2"
