"cruise","station","type","mon/day/yr","time","longitude (?E)","latitude (?N)","Depth (m)","DGM (pg/L)","Total Hg (ng/L)","MeHg (pg/L)","%DGM","%MeHg"
"Fenice12","S01","B","8/12/2012","8:00:00","10.33910","41.68452","0","23.3","0.123","13.2","19","11"
"Fenice12","S01","B","8/12/2012","8:00:00","10.33910","41.68452","10","17.8","0.179","4.56","10","3"
"Fenice12","S01","B","8/12/2012","8:00:00","10.33910","41.68452","45","33.3","0.094","9.18","35","10"
"Fenice12","S01","B","8/12/2012","8:00:00","10.33910","41.68452","60","31.1","0.09","36.3","35","40"
"Fenice12","S01","B","8/12/2012","8:00:00","10.33910","41.68452","80","25.5","0.123","62.8","21","51"
"Fenice12","S01","B","8/12/2012","8:00:00","10.33910","41.68452","110","47.7","0.104","6.73","46","6"
"Fenice12","S01","B","8/12/2012","8:00:00","10.33910","41.68452","175","50","0.116","6.79","43","6"
"Fenice12","S01","B","8/12/2012","8:00:00","10.33910","41.68452","200","44.4","0.099","50.6","45","51"
"Fenice12","S01","B","8/12/2012","8:00:00","10.33910","41.68452","300","52.2","0.162","38.6","32","24"
"Fenice12","S01","B","8/12/2012","8:00:00","10.33910","41.68452","400","58.8","0.388","4.98","15","1"
"Fenice12","S01","B","8/12/2012","8:00:00","10.33910","41.68452","525","73.3","0.13","3.64","56","3"
"Fenice12","S02","B","08/13/2012","18:30:00","6.06293","41.74537","0","19.8","0.252","6.3","8","3"
"Fenice12","S02","B","08/13/2012","18:30:00","6.06293","41.74537","20","23.5","0.144","10.8","16","8"
"Fenice12","S02","B","08/13/2012","18:30:00","6.06293","41.74537","50","27.1","0.167","15.1","16","9"
"Fenice12","S02","B","08/13/2012","18:30:00","6.06293","41.74537","75","33.4","0.18","39.6","19","22"
"Fenice12","S02","B","08/13/2012","18:30:00","6.06293","41.74537","100","40.7","0.181","33.7","22","19"
"Fenice12","S02","B","08/13/2012","18:30:00","6.06293","41.74537","130","58.5","0.203","40.2","29","20"
"Fenice12","S02","B","08/13/2012","18:30:00","6.06293","41.74537","300","56.4","0.234","40.8","24","17"
"Fenice12","S02","B","08/13/2012","18:30:00","6.06293","41.74537","500","67.5","0.187","41.9","36","22"
"Fenice12","S02","B","08/13/2012","18:30:00","6.06293","41.74537","1000","53.8","0.155","19","35","12"
"Fenice12","S02","B","08/13/2012","18:30:00","6.06293","41.74537","1500","48.5","0.136","48.4","36","36"
"Fenice12","S02","B","08/13/2012","18:30:00","6.06293","41.74537","2000","47.5","0.273","11.1","17","4"
"Fenice12","S02","B","08/13/2012","18:30:00","6.06293","41.74537","2560","51.7","0.293","16","18","5"
"Fenice12","S03","B","08/14/2012","18:30:00","2.69040","40.59962","0","21.4","0.11","6.75","19","6"
"Fenice12","S03","B","08/14/2012","18:30:00","2.69040","40.59962","25","21.9","0.102","10.3","21","10"
"Fenice12","S03","B","08/14/2012","18:30:00","2.69040","40.59962","40","23.6","0.073","22.7","32","31"
"Fenice12","S03","B","08/14/2012","18:30:00","2.69040","40.59962","60","25.2","0.086","15.63","29","18"
"Fenice12","S03","B","08/14/2012","18:30:00","2.69040","40.59962","80","31.3","0.119","17","26","14"
"Fenice12","S03","B","08/14/2012","18:30:00","2.69040","40.59962","160","57","0.091","14","63","15"
"Fenice12","S03","B","08/14/2012","18:30:00","2.69040","40.59962","320","72.4","0.116","7.85","62","7"
"Fenice12","S03","B","08/14/2012","18:30:00","2.69040","40.59962","470","80.6","0.104","3.37","78","3"
"Fenice12","S03","B","08/14/2012","18:30:00","2.69040","40.59962","1000","83.4","0.132","3.24","63","2"
"Fenice12","S03","B","08/14/2012","18:30:00","2.69040","40.59962","1500","75.7","0.127","22.6","60","18"
"Fenice12","S03","B","08/14/2012","18:30:00","2.69040","40.59962","2000","77.3","0.131","6.94","59","5"
"Fenice12","S03","B","08/14/2012","18:30:00","2.69040","40.59962","2300","80.6","0.163","5.85","49","4"
"Fenice12","S04","B","08/16/2012","20:00:00","-4.03550","36.49738","0","11.3","","9.4","",""
"Fenice12","S04","B","08/16/2012","20:00:00","-4.03550","36.49738","8","15.7","0.19","10.5","8","6"
"Fenice12","S04","B","08/16/2012","20:00:00","-4.03550","36.49738","25","24.3","0.146","28.6","17","20"
"Fenice12","S04","B","08/16/2012","20:00:00","-4.03550","36.49738","35","30.2","0.266","36","11","14"
"Fenice12","S04","B","08/16/2012","20:00:00","-4.03550","36.49738","100","62.6","0.101","14.3","62","14"
"Fenice12","S04","B","08/16/2012","20:00:00","-4.03550","36.49738","160","76.1","0.198","24.8","38","13"
"Fenice12","S04","B","08/16/2012","20:00:00","-4.03550","36.49738","200","81.5","0.188","10","43","5"
"Fenice12","S04","B","08/16/2012","20:00:00","-4.03550","36.49738","300","78.8","0.156","7.16","51","5"
"Fenice12","S04","B","08/16/2012","20:00:00","-4.03550","36.49738","400","81.5","0.144","4.54","57","3"
"Fenice12","S04","B","08/16/2012","20:00:00","-4.03550","36.49738","500","85.8","0.151","16.7","57","11"
"Fenice12","S04","B","08/16/2012","20:00:00","-4.03550","36.49738","600","88","0.159","","55",""
"Fenice12","S04","B","08/16/2012","20:00:00","-4.03550","36.49738","650","109.1","0.143","3.59","76","3"
"Fenice12","S05","B","08/17/2012","20:30:30","-7.14958","36.96298","0","14","0.115","2.72","12","2"
"Fenice12","S05","B","08/17/2012","20:30:30","-7.14958","36.96298","4","9.9","0.111","","9",""
"Fenice12","S05","B","08/17/2012","20:30:30","-7.14958","36.96298","10","11.6","0.123","3.04","9","2"
"Fenice12","S05","B","08/17/2012","20:30:30","-7.14958","36.96298","25","14","0.098","5.36","14","5"
"Fenice12","S05","B","08/17/2012","20:30:30","-7.14958","36.96298","40","16.9","0.242","10.2","7","4"
"Fenice12","S05","B","08/17/2012","20:30:30","-7.14958","36.96298","50","17.5","0.359","11","5","3"
"Fenice12","S05","B","08/17/2012","20:30:30","-7.14958","36.96298","78","29.7","0.974","14.6","3","1"
"Fenice12","S06","B","08/18/2012","14:30:00","-9.15468","35.51375","4","13","0.093","3.71","14","4"
"Fenice12","S06","B","08/18/2012","14:30:00","-9.15468","35.51375","75","13.7","0.065","4.34","21","7"
"Fenice12","S06","B","08/18/2012","14:30:00","-9.15468","35.51375","100","16.1","0.063","12.6","26","20"
"Fenice12","S06","B","08/18/2012","14:30:00","-9.15468","35.51375","200","29.2","0.066","4.36","44","7"
"Fenice12","S06","B","08/18/2012","14:30:00","-9.15468","35.51375","500","60.9","0.174","5.92","35","3"
"Fenice12","S06","B","08/18/2012","14:30:00","-9.15468","35.51375","800","72.7","0.123","2.33","59","2"
"Fenice12","S06","B","08/18/2012","14:30:00","-9.15468","35.51375","1000","77","0.069","19.2","","28"
"Fenice12","S06","B","08/18/2012","14:30:00","-9.15468","35.51375","1500","86.3","0.074","5.05","","7"
"Fenice12","S06","B","08/18/2012","14:30:00","-9.15468","35.51375","2000","89.4","0.044","11.1","","25"
"Fenice12","S06","B","08/18/2012","14:30:00","-9.15468","35.51375","2500","81.4","0.171","5.21","48","3"
"Fenice12","S06","B","08/18/2012","14:30:00","-9.15468","35.51375","3000","92.6","0.089","4.51","","5"
"Fenice12","S06","B","08/18/2012","14:30:00","-9.15468","35.51375","3531","90.1","0.135","5.19","67","4"
"Fenice12","S07","B","08/20/2012","9:30:00","-2.69442","35.90385","0","17.5","0.123","5.53","14","4"
"Fenice12","S07","B","08/20/2012","9:30:00","-2.69442","35.90385","4","13.6","0.112","9.56","12","9"
"Fenice12","S07","B","08/20/2012","9:30:00","-2.69442","35.90385","20","15.5","0.104","8.76","15","8"
"Fenice12","S07","B","08/20/2012","9:30:00","-2.69442","35.90385","40","12.9","0.141","7.42","9","5"
"Fenice12","S07","B","08/20/2012","9:30:00","-2.69442","35.90385","50","12.3","0.086","7.97","14","9"
"Fenice12","S07","B","08/20/2012","9:30:00","-2.69442","35.90385","100","20.7","0.069","10.3","30","15"
"Fenice12","S07","B","08/20/2012","9:30:00","-2.69442","35.90385","200","63.4","0.101","34.7","63","34"
"Fenice12","S07","B","08/20/2012","9:30:00","-2.69442","35.90385","300","76.4","0.139","7.26","55","5"
"Fenice12","S07","B","08/20/2012","9:30:00","-2.69442","35.90385","500","90.6","0.161","5.46","56","3"
"Fenice12","S07","B","08/20/2012","9:30:00","-2.69442","35.90385","700","88","0.147","2.27","60","2"
"Fenice12","S07","B","08/20/2012","9:30:00","-2.69442","35.90385","900","82.9","0.139","3.95","60","3"
"Fenice12","S07","B","08/20/2012","9:30:00","-2.69442","35.90385","1069","81.6","0.154","","53",""
"Fenice12","S08","B","08/22/2012","14:00:00","5.66733","38.65637","0","18.5","","","",""
"Fenice12","S08","B","08/22/2012","14:00:00","5.66733","38.65637","4","12.5","0.207","4.37","6","2"
"Fenice12","S08","B","08/22/2012","14:00:00","5.66733","38.65637","20","17","0.182","3.115","9","2"
"Fenice12","S08","B","08/22/2012","14:00:00","5.66733","38.65637","50","14","0.149","6.09","9","4"
"Fenice12","S08","B","08/22/2012","14:00:00","5.66733","38.65637","70","19.5","0.115","19.06","17","17"
"Fenice12","S08","B","08/22/2012","14:00:00","5.66733","38.65637","120","48.5","0.189","16.21","26","9"
"Fenice12","S08","B","08/22/2012","14:00:00","5.66733","38.65637","300","79.5","0.227","4.07","35","2"
"Fenice12","S08","B","08/22/2012","14:00:00","5.66733","38.65637","600","83","","5.19","",""
"Fenice12","S08","B","08/22/2012","14:00:00","5.66733","38.65637","1000","82.5","0.224","","37",""
"Fenice12","S08","B","08/22/2012","14:00:00","5.66733","38.65637","1500","68.5","0.21","","33",""
"Fenice12","S08","B","08/22/2012","14:00:00","5.66733","38.65637","2000","64","0.227","","28",""
"Fenice12","S08","B","08/22/2012","14:00:00","5.66733","38.65637","2830","69","0.23","2.99","30","1"
"Fenice12","S09","B","08/23/2012","14:00:00","8.65953","38.22980","0","26.2","","","",""
"Fenice12","S09","B","08/23/2012","14:00:00","8.65953","38.22980","4","23.1","0.155","54.2","15","35"
"Fenice12","S09","B","08/23/2012","14:00:00","8.65953","38.22980","20","18.5","0.094","2.19","20","2"
"Fenice12","S09","B","08/23/2012","14:00:00","8.65953","38.22980","35","17.4","0.072","28.3","24","39"
"Fenice12","S09","B","08/23/2012","14:00:00","8.65953","38.22980","85","36.9","0.074","21","50","28"
"Fenice12","S09","B","08/23/2012","14:00:00","8.65953","38.22980","170","62.6","0.126","4.67","50","4"
"Fenice12","S09","B","08/23/2012","14:00:00","8.65953","38.22980","400","73.4","0.185","3.3","40","2"
"Fenice12","S09","B","08/23/2012","14:00:00","8.65953","38.22980","600","69.8","0.188","","37",""
"Fenice12","S09","B","08/23/2012","14:00:00","8.65953","38.22980","1000","77.5","0.212","1.895","37","1"
